3891089727 | AWS | preferred
3901952504 | HTML | required
3901952504 | Java | required
3901952504 | MySQL | required
3901952504 | Oracle | required
3902928865 | Excel | preferred
3902928865 | Python | required
3902928865 | SQL | required
3902942425 | CSS | required
3902942425 | HTML | required
3902942425 | JavaScript | required
3905327596 | AWS | boilerplate
3905327596 | Datadog | boilerplate
3905327596 | Java | boilerplate
3905327596 | Prometheus | boilerplate
3885110725 | C# | required
3885110725 | CI/CD | required
3885110725 | Jira | boilerplate
3885110725 | Python | required
3885110725 | SQL | required
3885110725 | SQL Server | required
3885110725 | Snowflake | required
3887908994 | C++ | preferred
3887908994 | Linux | required
3887908994 | Python | preferred
3891070883 | AWS | preferred
3891070883 | Azure | preferred
3891070883 | GCP | preferred
3895256064 | Ansible | required
3895256064 | Bash | required
3895256064 | Grafana | required
3895256064 | Prometheus | required
3895256064 | Python | required
3895256064 | SQL | required
3898170963 | Keras | required
3898170963 | Machine learning | required
3898170963 | PyTorch | required
3898170963 | TensorFlow | required
3899528727 | Java | required
3899528727 | Kafka | required
3899528727 | Linux | required
3902341447 | JavaScript | required
3902341447 | PHP | required
3902341447 | Vue | required
3902353328 | Azure | preferred
3902353328 | Data warehousing | preferred
3902353328 | ETL | preferred
3902353328 | Power BI | required
3902353328 | SQL | required
3903818698 | Excel | required
3903818698 | Oracle | required
3903818698 | VBA | spurious
3904389579 | AWS | required
3904389579 | Python | required
3904389579 | Spark | required
3891283386 | Excel | required
3891283386 | Python | required
3891283386 | SAS | required
3891283386 | SQL | required
3891283386 | Tableau | required
3899523300 | .NET | spurious
3899523300 | AWS | required
3899523300 | Angular | required
3899523300 | CSS | required
3899523300 | CloudFormation | required
3899523300 | EC2 | required
3899523300 | Java | required
3899523300 | Lambda | required
3899523300 | Microservices | required
3899523300 | S3 | required
3899523300 | Spring | required
3899523300 | Spring Boot | required
3899526088 | Java | required
3899526088 | Oracle | required
3899526088 | SQL | required
3900956019 | Angular | required
3900956019 | Ansible | required
3900956019 | Azure | required
3900956019 | Bash | required
3900956019 | CI/CD | preferred
3900956019 | Elasticsearch | required
3900956019 | Git | preferred
3900956019 | Grafana | required
3900956019 | Java | required
3900956019 | JavaScript | required
3900956019 | Jenkins | preferred
3900956019 | Kafka | preferred
3900956019 | Kubernetes | required
3900956019 | MongoDB | required
3900956019 | Oracle | required
3900956019 | Prometheus | required
3900956019 | Python | required
3900956019 | React | required
3900956019 | Redis | preferred
3900956019 | SQL | required
3900956019 | Splunk | required
3900956019 | Spring | required
3900956019 | Spring Boot | required
3901939469 | C# | required
3901939469 | C++ | required
3901939469 | HTML | required
3901939469 | JavaScript | required
3901939469 | Python | required
3901939469 | SQL | required
3902353556 | Angular | preferred
3902353556 | Azure | required
3902353556 | C# | required
3902353556 | CI/CD | required
3902353556 | CSS | required
3902353556 | Git | required
3902353556 | HTML | required
3902353556 | JavaScript | required
3902353556 | SQL | required
3902353556 | SQL Server | required
3902353556 | TypeScript | required
3902355613 | AWS | required
3902355613 | Azure | required
3902355613 | Bash | required
3902355613 | Data warehousing | required
3902355613 | ETL | required
3902355613 | Java | required
3902355613 | Machine learning | required
3902355613 | Python | required
3902355613 | SQL | required
3902355613 | Spark | required
3902357112 | Azure | preferred
3902357112 | Bash | required
3902357112 | C++ | required
3902357112 | CI/CD | preferred
3902357112 | Computer vision | required
3902357112 | Deep learning | required
3902357112 | GCP | preferred
3902357112 | Git | required
3902357112 | GitHub Actions | preferred
3902357112 | Jupyter | required
3902357112 | Linux | required
3902357112 | Machine learning | required
3902357112 | NumPy | required
3902357112 | PyTorch | required
3902357112 | Python | required
3902357112 | TensorFlow | required
3902357112 | scikit-learn | required
3904587821 | HTML | preferred
3904587821 | JavaScript | preferred
3904587821 | NoSQL | preferred
3904587821 | Node.js | preferred
3904587821 | Python | preferred
3904961093 | Excel | required
3904961093 | Power BI | required
3904961093 | Python | required
3904961093 | Tableau | required

